lap,distance_m,time_s,speed_kmh,throttle,brake,steering_deg,gear
baseline,0.0,0.0,250.614,1.0,0.0,2.397,6
baseline,4.667,0.067,250.761,1.0,0.0,3.246,6
baseline,9.333,0.134,250.903,1.0,0.0,4.07,6
baseline,14.0,0.201,251.043,1.0,0.0,4.867,6
baseline,18.667,0.2679,251.178,1.0,0.0,5.634,6
baseline,23.333,0.3348,251.31,1.0,0.0,6.365,6
baseline,28.0,0.4016,251.439,1.0,0.0,7.059,6
baseline,32.667,0.4685,251.564,1.0,0.0,7.713,6
baseline,37.333,0.5352,251.685,1.0,0.0,8.323,6
baseline,42.0,0.602,251.802,1.0,0.0,8.889,6
baseline,46.667,0.6687,251.915,1.0,0.0,9.408,6
baseline,51.333,0.7354,252.023,1.0,0.0,9.878,6
baseline,56.0,0.8021,252.126,1.0,0.0,10.298,6
baseline,60.667,0.8687,252.224,1.0,0.0,10.669,6
baseline,65.333,0.9353,252.315,1.0,0.0,10.988,6
baseline,70.0,1.0019,252.4,1.0,0.0,11.256,6
baseline,74.667,1.0684,252.477,1.0,0.0,11.474,6
baseline,79.333,1.135,252.545,1.0,0.0,11.641,6
baseline,84.0,1.2015,252.604,1.0,0.0,11.759,6
baseline,88.667,1.268,252.653,1.0,0.0,11.829,6
baseline,93.333,1.3345,252.689,1.0,0.0,11.852,6
baseline,98.0,1.401,252.712,1.0,0.0,11.831,6
baseline,102.667,1.4675,252.72,1.0,0.0,11.768,6
baseline,107.333,1.534,252.712,0.9912,0.0,11.664,6
baseline,112.0,1.6004,252.685,0.9814,0.0,11.523,6
baseline,116.667,1.6669,252.638,0.9705,0.0053,11.347,6
baseline,121.333,1.7334,252.567,0.9585,0.0195,11.139,6
baseline,126.0,1.7999,252.471,0.9451,0.0352,10.903,6
baseline,130.667,1.8665,252.348,0.0,0.0524,10.642,6
baseline,135.333,1.933,252.193,0.0,0.0715,10.358,6
baseline,140.0,1.9997,252.005,0.0,0.0923,10.056,6
baseline,144.667,2.0663,251.779,0.0,0.1152,9.74,6
baseline,149.333,2.1331,251.513,0.0,0.1401,9.411,6
baseline,154.0,2.1999,251.203,0.0,0.1672,9.075,6
baseline,158.667,2.2667,250.845,0.0,0.1965,8.734,6
baseline,163.333,2.3337,250.435,0.0,0.2283,8.391,6
baseline,168.0,2.4008,249.969,0.0,0.2625,8.05,6
baseline,172.667,2.468,249.442,0.0,0.2992,7.714,6
baseline,177.333,2.5353,248.851,0.0,0.3386,7.386,6
baseline,182.0,2.6029,248.191,0.0,0.3805,7.068,6
baseline,186.667,2.6705,247.458,0.0,0.4252,6.763,6
baseline,191.333,2.7384,246.646,0.0,0.4725,6.474,6
baseline,196.0,2.8065,245.751,0.0,0.5224,6.201,6
baseline,200.667,2.8749,244.77,0.0,0.5749,5.947,6
baseline,205.333,2.9435,243.696,0.0,0.63,5.714,6
baseline,210.0,3.0125,242.528,0.0,0.6874,5.503,6
baseline,214.667,3.0818,241.259,0.0,0.7471,5.314,6
baseline,219.333,3.1514,239.887,0.0,0.8089,5.148,6
baseline,224.0,3.2214,238.409,0.0,0.8726,5.005,6
baseline,228.667,3.2919,236.821,0.0,0.9379,4.885,6
baseline,233.333,3.3628,235.12,0.0,1.0,4.789,6
baseline,238.0,3.4343,233.305,0.0,1.0,4.714,6
